task_clock	context_switches	cpu_migrations	page_faults	cycles	instructions	branches	branch_misses	L1_dcache_loads	L1_dcache_load_misses	LLC_loads	LLC_load_misses	L1_icache_loads	L1_icache_load_misses	dTLB_loads	dTLB_load_misses	iTLB_loads	iTLB_load_misses	L1_dcache_prefetches	L1_dcache_prefetch_misses	filename	board	iter	iterations
12776.37	0	0	46	22834951097	37407464922	NA	109924417	8474739362	59296	NA	NA	14762169409	33112	NA	24654760	NA	7626	NA	NA	./raspi4/coremark.0.perf.tsv	raspi4	0	110000
12720.34	0	0	46	22834011667	37401464292	NA	110571406	8474979098	72330	NA	NA	14774153189	31191	NA	24484742	NA	7857	NA	NA	./raspi4/coremark.1.perf.tsv	raspi4	1	110000
12714.3	0	0	46	22822315714	37401478383	NA	110282732	8473652624	62791	NA	NA	14757898429	33048	NA	24423034	NA	7697	NA	NA	./raspi4/coremark.2.perf.tsv	raspi4	2	110000
12717.71	0	0	45	22830582070	37401393772	NA	110758336	8473935573	58801	NA	NA	14770440911	31117	NA	24394511	NA	7109	NA	NA	./raspi4/coremark.3.perf.tsv	raspi4	3	110000
12710.86	0	0	45	22816121472	37400600723	NA	110368043	8476310057	60423	NA	NA	14748478953	32704	NA	24023681	NA	7905	NA	NA	./raspi4/coremark.4.perf.tsv	raspi4	4	110000
12724.99	0	0	45	22836731011	37398432165	NA	110252739	8474867965	74333	NA	NA	14768247007	36215	NA	24544399	NA	8718	NA	NA	./raspi4/coremark.5.perf.tsv	raspi4	5	110000
12724.88	0	0	45	22840985065	37401072921	NA	110703986	8475055794	32560	NA	NA	14771129174	33005	NA	24363936	NA	7605	NA	NA	./raspi4/coremark.6.perf.tsv	raspi4	6	110000
12721.86	0	0	45	22837256226	37401060408	NA	110811801	8473872330	87441	NA	NA	14773634623	30873	NA	24425675	NA	7452	NA	NA	./raspi4/coremark.7.perf.tsv	raspi4	7	110000
12734.84	0	0	45	22860730502	37400446882	NA	110912284	8475451436	75843	NA	NA	14791065614	31320	NA	24379171	NA	7409	NA	NA	./raspi4/coremark.8.perf.tsv	raspi4	8	110000
12703.25	0	0	45	22800533441	37399051273	NA	108742502	8468792568	71338	NA	NA	14759462944	33114	NA	24668096	NA	8094	NA	NA	./raspi4/coremark.9.perf.tsv	raspi4	9	110000
22754.54	0	0	34	54471092384	126986952618	28471559540	88798092	28415829155	55030	8770	1560	37000002831	62955	28424185847	7617	29092424049	0	NA	NA	./raspi5/coremark.0.perf.tsv	raspi5	0	300000
22708.8	0	0	34	54435499944	126957310010	28468379777	86380652	28416170676	58734	6566	41	36969456161	62276	28416599302	7889	29061013473	72	NA	NA	./raspi5/coremark.1.perf.tsv	raspi5	1	300000
22729.65	0	0	34	54485232504	126957997608	28468708609	89301344	28424841866	52083	6938	30	37018319949	60501	28425478945	8047	29089607087	74	NA	NA	./raspi5/coremark.2.perf.tsv	raspi5	2	300000
22721.86	0	0	33	54465616944	126955395306	28467906361	87761495	28421772661	23055	7119	128	36992029964	61753	28422193132	8803	29074427628	105	NA	NA	./raspi5/coremark.3.perf.tsv	raspi5	3	300000
22704.28	0	0	34	54424654457	126956266104	28468345780	86280668	28415964542	56791	9741	1795	36970210271	63721	28416432423	7900	29053666417	7	NA	NA	./raspi5/coremark.4.perf.tsv	raspi5	4	300000
22701.75	0	0	33	54419112705	126957813686	28468295888	85956793	28416453809	28896	9131	1632	36961305888	63782	28417184918	8225	29054617843	0	NA	NA	./raspi5/coremark.5.perf.tsv	raspi5	5	300000
22698.25	0	0	33	54410161883	126958087003	28468374135	85994491	28416512308	15839	9692	1656	36977274951	64150	28417697164	9144	29052848775	7	NA	NA	./raspi5/coremark.6.perf.tsv	raspi5	6	300000
22688.02	0	0	33	54386185429	126955954000	28468230031	86101110	28415621816	33192	8582	1519	36972330775	59659	28416113403	9588	29054413542	0	NA	NA	./raspi5/coremark.7.perf.tsv	raspi5	7	300000
22703.25	0	0	33	54422324694	126956347926	28468257549	86548238	28415460318	40839	9260	1797	36979632163	62937	28415919545	7822	29060949257	2	NA	NA	./raspi5/coremark.8.perf.tsv	raspi5	8	300000
22704.96	0	0	34	54426505494	126957602725	28468354103	85508239	28415319194	53894	9125	1871	36972488616	64007	28415765388	9041	29050657810	0	NA	NA	./raspi5/coremark.9.perf.tsv	raspi5	9	300000
